ENV,ENV_VEL,ENV_ACC,time_ms
0.205211602,-0.521510349,1.297605117,11280
0.187304543,-0.304556503,11.17925142,11320
0.186290389,0.278563699,14.62301374,11360
0.206171316,0.623483684,1.201539428,11400
0.228241017,0.396398518,-11.13658729,11440
0.234545077,-0.059768457,-7.568377965,11480
0.232425169,0.143348288,19.94924354,11520
0.259225194,1.2372405,25.04991637,11560
0.317779176,1.353332887,-23.63076128,11600
0.343293036,-0.195387333,-40.36999106,11640
0.314016348,-0.937801792,7.063982823,11680
0.290739347,-0.129046364,21.27137357,11720
0.294268935,0.071370235,-11.89797195,11760
0.28511196,-0.474554234,-3.57371958,11800
0.276989871,0.434902295,49.34012965,11840
0.340536052,2.768055766,52.45344659,11880
0.477328603,3.596765543,-16.8010832,11920
0.590990434,1.778330093,-61.89558828,11960
0.616206135,-0.327576235,-34.46459796,12000
0.588337046,-0.760511372,10.70049005,12040
0.573955678,0.171475469,29.76782601,12080
0.600887402,0.995747161,2.974037054,12120
0.62861481,0.033291013,-48.76411991,12160
0.586689376,-2.095318633,-43.40199886,12200
0.483634252,-2.633173152,18.31029016,12240
0.404485096,-1.139755128,45.66083453,12280
0.391021707,0.296287612,20.84544582,12320
0.409733161,0.401979429,-14.26798134,12360
0.40857705,-0.552914247,-27.87371534,12400
0.367358964,-1.389114392,-10.71571616,12440
0.308510178,-1.446797296,5.255859178,12480
0.257643394,-0.99864648,20.66558118,12520
0.243652528,0.556592145,57.671068,12560
0.315562747,2.991031218,49.62197307,12600
0.456831751,3.564719025,-24.09235457,12640
0.566546948,1.728200725,-52.45287861,12680
0.602238724,0.325668959,-13.92828841,12720
0.612105572,0.293781142,5.109960868,12760
0.626624552,0.387791162,-0.995832412,12800
0.639567077,0.19721364,-10.9171535,12840
0.632053597,-0.756927456,-37.09841615,12880
0.571559273,-2.142444543,-17.51417304,12920
0.492336552,-1.285075986,58.96315148,12960
0.49313725,1.197282033,39.69259016,13000
0.545204318,0.727316273,-57.36198463,13040
0.524678221,-1.56949156,-31.23842086,13080
0.461792742,-1.034909851,45.8033604,13120
0.453871863,0.362394169,7.07158488,13160
0.457504413,-0.466940574,-33.96278482,13200
0.419983369,-1.092125115,11.4800187,13240
0.399785559,0.374803046,54.57717493,13280
0.459702096,2.559136738,44.91417562,13320
0.583407901,3.174311797,-21.88565104,13360
0.67260293,0.87192587,-81.49239433,13400
0.646693281,-1.870574714,-38.20864837,13440
0.564267177,-1.733377956,36.76258787,13480
0.527050654,-0.235060692,21.59935549,13520
0.518416073,-0.592255264,-35.5097482,13560
0.462624828,-2.149535616,-28.65431561,13600
0.367617887,-2.235828076,24.41965538,13640
0.306589128,-0.674070619,45.77915789,13680
0.314911151,1.039076774,38.39889529,13720
0.383419076,2.253539392,17.61350893,13760
0.474744228,1.938481867,-37.24920879,13800
0.510012091,-0.375813276,-65.92190806,13840
0.45137084,-2.219894819,-16.98528938,13880
0.365794205,-1.69207523,37.22646103,13920
0.33404037,0.204896214,52.657386,13960
0.3836742,2.219257468,43.41613422,14000
0.497776314,3.193060877,0.10151882,14040
0.612323512,2.260304362,-39.69434357,14080
0.671645026,0.810635658,-25.02280586,14120
0.690946876,0.262180871,-9.987413869,14160
0.686592416,-0.716580608,-43.76482488,14200
0.615828952,-2.890175651,-52.93744758,14240
0.47004616,-4.021759367,1.879583567,14280
0.324481659,-2.990424453,41.4833796,14320
0.240730949,-1.138663499,51.17910916,14360
0.240602735,1.237898089,65.18279827,14400
0.336011803,3.225476812,19.10288277,14440
0.455525267,2.159224728,-66.24360316,14480
0.4839523,-0.649260433,-53.80234324,14520
0.433725062,-1.419662595,9.994970638,14560
0.389231941,-0.809656072,10.94827112,14600
0.362604653,-0.526703627,10.79934308,14640
0.35779339,0.473525621,36.96467022,14680
0.404754058,1.732033111,16.2132361,14720
0.475000216,1.509764418,-23.03130571,14760
0.51482214,0.502221629,-20.46824605,14800
0.524271806,0.115293998,0.86403236,14840
0.533735648,0.439183778,12.82412832,14880
0.560543101,0.82277303,0.81020457,14920
0.584690028,0.126561199,-36.64341037,14960
0.554856538,-1.650656797,-40.53647028,15000
0.469885236,-2.179605679,20.42763174,15040
0.414251627,-0.339962065,58.23819227,15080
0.439383638,1.283314381,12.99193365,15120
0.486030676,0.75944513,-29.10792789,15160
0.495732645,-0.125596979,-8.401581568,15200
0.490309485,-0.06265572,3.452775473,15240
0.484770485,-0.384030047,-20.45164991,15280
0.450916927,-1.285615531,-17.19692602,15320
0.392187898,-1.506649909,3.314979567,15360
0.334037921,-1.461820283,-4.872650172,15400
0.269615135,-1.752647028,-3.401203937,15440
0.204073842,-1.325296192,25.13889683,15480
0.174478974,-0.148139193,26.02232592,15520
0.182410013,0.357918306,-1.012373421,15560
0.191680077,0.049155492,-9.527013506,15600
0.188463336,-0.132623427,1.676107344,15640
0.187693603,0.166963298,12.59671852,15680
0.206809181,0.849421996,21.70129363,15720
0.260734834,1.907057904,30.31490216,15760
0.360735182,3.029064311,20.1268649,15800
0.487209064,2.957409047,-29.84776538,15840
0.565263316,0.588558375,-81.30320004,15880
0.525726401,-2.32355257,-44.76225292,15920
0.425806421,-1.912833013,65.63004012,15960
0.417141044,1.592040167,81.20346778,16000
0.519009178,2.720266041,-31.43335969,16040
0.583071569,0.262519499,-63.61609181,16080
0.561821632,-0.794704313,11.40202546,16120
0.544684986,-0.14708502,0.02143503,16160
0.522905876,-1.233825435,-40.11514258,16200
0.455391557,-1.612437382,35.84469252,16240
0.44022294,1.157373147,78.78714913,16280
0.530400846,2.702566781,-14.99319699,16320
0.601308399,0.395134435,-80.0497361,16360
0.562739667,-1.898211911,-18.29023336,16400
0.497361686,-0.817404205,62.227187,16440
0.516690012,1.640373643,41.27635122,16480
0.59330769,1.634299984,-39.290964,16520
0.618406382,-0.416043959,-44.85093668,16560
0.581265588,-1.033330264,13.65161402,16600
0.556709827,-0.206629183,11.87172413,16640
0.542805881,-0.886858127,-45.24267314,16680
0.466442256,-2.864798564,-34.60545391,16720
0.347398922,-2.432525336,60.46925271,16760
0.315440789,1.033332018,88.4082143,16800
0.404983358,2.711395013,-18.23477208,16840
0.469284564,-0.055504352,-99.51118468,16880
0.39530953,-3.214189847,-36.67511734,16920
0.270812813,-2.174609364,86.08304098,16960
0.272467909,2.53640314,126.1700546,17000
0.455213494,5.888282539,21.2408054,17040
0.668473064,3.897808298,-106.5912828,17080
0.732090216,-0.627817762,-94.52423887,17120
0.653735121,-2.747548903,-15.78033799,17160
0.539964591,-2.843106162,0.273798738,17200
0.424762683,-2.923128089,0.127574156,17240
0.313449533,-2.489735558,21.94001038,17280
0.234147689,-1.456717607,24.86266652,17320
0.192631135,-0.69757927,13.51366241,17360
0.174149335,-0.24508346,10.46456854,17400
0.17246234,0.146096957,8.088274085,17440
0.182682497,0.302404394,-1.137091221,17480
0.191275627,0.074816581,-8.740505021,17520
0.187748336,-0.215625186,-3.499576812,17560
0.179623798,-0.106454786,8.826582628,17600
0.184490281,0.380201769,13.21494067,17640
0.208391956,0.743589964,2.654802989,17680
0.235823727,0.523742597,-12.53408321,17720
0.245420986,-0.046277445,-13.00608983,17760
0.235348854,-0.40354339,-5.139445862,17800
0.216959248,-0.452781587,5.01886481,17840
0.210740897,0.396639015,42.62805082,17880
0.272255018,2.891728956,72.31290684,17920
0.435605753,4.837227704,7.399759675,17960
0.605302114,2.961481572,-91.93371289,18000
0.645982686,-0.774882228,-69.65212365,18040
0.586359447,-1.52894563,28.40858298,18080
0.558487435,0.196860368,38.36915281,18120
0.583795441,0.733911107,-9.741306307,18160
0.599803326,-0.00467316,-21.52986754,18200
0.580885566,-1.016424988,-32.5928239,18240
0.510301805,-2.548001843,-36.47407932,18280
0.389520468,-3.159517467,11.66250171,18320
0.284503325,-1.888098882,41.24697498,18360
0.237152364,-0.660110932,15.53540219,18400
0.216224555,-0.511788755,-3.201795476,18440
0.193161887,-0.623832759,-0.94299439,18480
0.1689884,-0.540480435,5.752122727,18520
0.154185121,-0.153717519,12.20735563,18560
0.156609886,0.216626571,3.760589991,18600
0.165089703,0.1514053,-4.208025132,18640
0.169517755,0.132699909,4.554700217,18680
0.179677104,0.369279134,3.584587736,18720
0.193855769,0.260623843,-7.382326078,18760
