"Begin Time - msec","End Time - msec","RS_Detail","RG_RefNum_Right",
182415,182615,"Pos-um",
182615,182794,"Ad-maskSg",
182794,183095,"L-see",
183095,183524,"Dir-herum",
186075,186236,"O-Versprecher","162"
186236,186422,"Pos-da","162"
186422,186718,"V-static","162"
186899,187042,"Ad-maskSg","162"
187042,187429,"L-str_10-parkweg-rundgang",
187617,187747,"P-DuPerspektive","164"
187747,187935,"V-motion","164"
187935,188004,"Ad-maskSg","164"
188004,188775,"Pos-rechts",
188775,189220,"V-motion","166"
190549,191143," Dir-imDreiviertelkreis","166"
191143,191212,"Pos-um","166"
191212,191336,"Ad-maskSg","166"
191336,191566,"L-see","166"
191566,191851,"Dir-herum","166"
193869,194072,"T-dann",
194072,194188,"V-static",
194188,194547,"Pos-da",
194547,195102,"Aid-maskSg",
195722,195923,"Aid-maskSg",
195923,196571,"L-eisstand",
196787,196866,"Pos-an",
196866,196958,"Ad-maskSg",
196958,197069,"P-DuPerspektive",
197069,197260,"Dir-rechts",
197260,197794,"V-motion",
198440,198549,"T-dann",
198549,198712,"V-motion",
198712,198797,"P-DuPerspektive",
198797,198859,"Dir-in",
198859,199171,"Aid-femSg",
199502,199656,"O-Bestaetigung",
199656,199780,"Ad-neuSg",
199780,199869,"V-perception",
200067,200153,"Aid-femSg",
200153,200737,"L-geb_21_siedlung-kapelle",
202287,202671,"T-dann",
205393,205499,"Ad-femPl",
205499,205729,"L-objekt-sg_unbestimmbar",
205729,206042,"Pos-rechts",
206042,206254,"V-other",
206339,206442,"T-wenn",
206442,206524,"P-DuPerspektive",
206524,206634,"Aid-femSg",
206634,206930,"L-lm4_kapelle",
206930,207138,"V-perception",
207138,207378,"Dir-rechts",
207378,207980,"V-motion",
208358,208432,"Pos-da","185"
208432,208510,"V-static","185"
208510,208648,"T-dann","185"
209237,209598,"O-Versprecher","185"
209598,210047,"Aid-femSg",
210047,210373,"L-str_13-zuAufKapelle",
210373,210633,"Dist-weiter",
210957,211086,"V-static",
211086,211217,"Ad-femSg",
211217,211671,"L-lm4_kapelle",
212475,212616,"Ad-femSg",
212616,212801,"T-dann",
212801,212955,"Ad-maskSg",
212955,213106,"O-Wiederholung",
213222,213494,"AttL-number",
213494,214071,"L-lms-sg_unbestimmbar",
214071,214245,"V-static",
216366,216556,"O-Frage",
216556,216682,"V-static",
216682,216813,"Prep-mit",
216813,216910,"Ad-femSg",
216910,217385,"L-lm4_kapelle",
219716,221169," AttL-shape",
221766,222299,"AttL-shape",
222299,222815,"L-lm4_turm-dach",
223789,224148,"Pos-rechts",
224148,224379,"Pos-von",
224379,224490,"Aid-maskSg",
224490,225067,"L-lm4_LBgr-baum",
226824,227002,"AttL-number",
227002,227373,"L-lm4_laterne-pl-rund-lUr",
227373,228039,"Pos-vor",
231073,231415," O-Kommentar",
231415,231563,"Ad-neuSg",
231563,231769,"V-static",
233852,234602,"T-dann",
236548,236835,"Dir-links",
236835,237207,"V-motion",
237464,237528,"Pos-an",
237528,237662,"Ad-femSg",
237662,237978,"L-lm4_kapelle",
237978,238176,"Ad-femSg","205"
238176,238540,"L-lm4_kapelle","205"
238540,238810,"Pos-rechts","205"
238810,239131,"V-static","205"
239131,239491,"V-motion",
242325,242850,"T-dann",
242850,243602,"V-static",
243602,244508,"T-irgendwann",
244508,245132,"Aid-femSg",
245622,245736,"Aid-femSg",
245736,246112,"L-objekt-sg_unbestimmbar",
246112,246202,"V-static",
246202,246312,"Ad-neuSg",
246312,246530,"O-Negation",
246681,246778,"Pos-da",
246904,247389,"AttL-number","212"
247595,248370,"L-geb_pl_unbestimmbar","212"
249447,249922,"V-static","212"
250342,250709,"O-Versprecher",
250709,251003,"Aid-maskSg",
251003,251352,"O-Wiederholung",
251352,251847,"L-geb_bruecke",
251847,252110,"Pos-da",
252748,253260,"Pos-hinter",
253260,253490,"Dir-rechts",
253490,254038,"V-motion",
254958,255400,"O-Bestaetigung",
255919,256444,"T-dann",
256444,257020,"V-static",
257372,257646," O-Kommentar",
257760,257927,"Ad-maskSg",
257927,258489,"L-lm5_brunnen",
260058,260203,"Prep-zu",
260203,260833,"L-lm5_brunnen",
262798,263152,"O-Bestaetigung",
263152,263599,"AttL-shape",
264651,264859,"AttL-number",
264859,265298,"L-laterne-pl-rund",
265298,265454,"Pos-um",
265454,265803,"Pos-herum",
267301,267854,"L-lm5_inneresPodest",
267854,268031,"V-static",
268031,268327," O-Kommentar",
268327,268565,"O-Bestaetigung",
269024,269526,"AttL-color",
