"","begintimes","endtimes","gesture_type","hand","gesture_duration","gesturesid","ppn","sfeat_envaccpeaksd","sfeat_envaccpeaks","sfeat_maxenvacc","sfeat_maxenvvel","sfeat_maxenv","sfeat_meanf","sfeat_maxf0","kfeat_wristindexdistanceright","kfeat_wristindexdistanceleft","kfeat_thumbindexdistanceright","kfeat_thumbindexdistanceleft","kfeat_wristwidthleftright","kfeat_wristheightright","kfeat_wristheightleft","kfeat_timetospeedright","kfeat_timetospeedleft","kfeat_avjerkright","kfeat_avjerkleft","kfeat_peakswristright","kfeat_peakswristleft","kfeat_maxspeedelbowright","kfeat_maxspeedelbowleft","kfeat_maxaccwristright","kfeat_maxaccwristleft","kfeat_maxspeedwristright","kfeat_maxspeedwristleft"
"23",91610,93610,"iconic","left",2000,"event_code23","V07",4.091,0.006,98.40728835,3.715856682,0.69929617,151.956523352041,244.889487,0.069103076251903,0.0481188939746475,0.0174039878553913,0.0331218287596433,0.179867826882991,-0.0120539862932145,-0.0178195709789611,0.18,0.92,31.9705742936471,30.9031208557699,13,11,106.11761849615,90.1586668155074,69.9990974458786,90.9085881961358,168.239524313921,156.278962055774
"24",103296,107146,"move","left",3850,"event_code24","V07",4.091,0.00597402597402597,84.4887753,3.57598882,0.66406004,154.21619236802,216.310624,0.0890137106123202,0.0743535430985259,0.0596943221437451,0.0141289089902726,0.259798430349865,-0.334661219207202,-0.345744827738781,0.218181818181818,0.748051948051948,11.2370868038661,12.8148016734403,27,28,38.9565916767033,49.9173411432429,33.3763140704128,28.456326268124,64.2537093141218,59.6853173512139
"25",113580,114370,"move","left",790,"event_code25","V07",4.25,0.00632911392405063,86.66660433,3.393794548,0.542040761,162.339291780702,200.205247,0.107062103231888,0.0771926387411479,0.0499710681065508,0.0780951096116876,0.242926745280468,-0.265917435075259,-0.313927996365069,0.455696202531646,0.455696202531646,11.146882674572,9.1885558707738,5,4,35.1057082077367,48.41097944157,21.0742483880927,22.0111770699819,39.9804282633002,43.4608505351083
"26",120785,121995,"iconic","left",1210,"event_code26","V07",5.25,0.00413223140495868,118.2498774,5.130162509,0.836854324,146.614554638298,208.927622,0.0451936283847134,0.031475079636457,0.0443864514279319,0.0321738460017017,0.258318537286744,-0.272850274506286,-0.301830275547654,0.892561983471074,0.429752066115702,21.7636476982626,16.3791082771397,8,7,49.8758733993453,50.3211552465757,43.9566739013532,31.9885455218921,76.1817610920754,81.7462801127245
"27",121995,122835,"iconic","left",840,"event_code27","V07",6.5,0.00357142857142857,59.87222467,3.214820002,0.578927683,147.496173302632,209.622423,0.0510799860166499,0.215804188019013,0.0684978180389332,0.0226320180648008,0.246576686854756,-0.269488695618835,-0.270457823005772,0.428571428571429,0.428571428571429,31.814442073249,35.0026122268359,6,5,81.258460363835,84.7087686818681,73.3187454627847,52.6299250031144,136.017550757434,124.76824517232
"28",147221,149460,"iconic","left",2239,"event_code28","V07",4.091,0.00535953550692273,71.56925637,5.038198845,0.724557862,133.996693195572,167.924585,0.132002363726941,0.256785586915984,0.0335357975254229,0.058905682149417,0.0949099968101871,-0.0921245614755618,-0.0796243662968268,0.482358195623046,0.160786065207682,29.3829168441085,26.366653437376,16,12,108.265958770277,104.550028416084,60.41658573846,76.8496349915775,134.899909201818,182.006547267163
"29",149460,150091,"iconic","left",631,"event_code29","V07",3.5,0.00475435816164818,97.33573726,4.665363968,0.688761174,130.279593032609,173.786674,0.116734556812076,0.0913614885700963,0.0480825955897267,0.0458401947079193,0.0935737485514254,-0.138218929646681,-0.147440408308138,0.190174326465927,0.190174326465927,34.8173804349034,27.8197828721682,4,4,79.874902489141,89.2196497403539,54.0184012680806,47.0642945271163,111.280440873092,103.028846558251
"30",150091,150911,"iconic","left",820,"event_code30","V07",5.5,0.00365853658536585,100.6780629,4.287236265,0.650976043,126.424521720339,155.832426,0.103859807477804,0.0993869060995674,0.0547831534934089,0.0503833031383291,0.0589488416565364,-0.108185939374997,-0.108341079381264,0.0487804878048781,0.829268292682927,35.3476075057357,27.8774923454747,5,5,94.8458627017224,101.901611177146,45.7936913640018,42.2406980139364,119.858108447121,100.51805898984
"31",150921,152470,"iconic","left",1549,"event_code31","V07",4.143,0.00516462233699161,99.49913674,4.914751045,0.68829133,133.096356237209,182.69276,0.111482543613784,0.127117433645819,0.0437904193981876,0.017710500136294,0.113125246094548,-0.0610195923469209,-0.0047749576330201,0.852162685603615,0.697224015493867,25.6853992008931,34.1857073071788,10,10,83.4177149713886,94.2310763352801,63.4258537835215,85.4863150543962,128.597897442719,147.708771140012
"32",152470,153921,"iconic","left",1451,"event_code32","V07",4.571,0.00551343900758098,88.01366833,4.23972475,0.74004155,136.984437356784,219.442317,0.12186215430921,0.111507283908284,0.00512132825258789,0.0195484589960394,0.0240039935746872,-0.025051533164316,-0.0714959591160023,0.0275671950379049,0.0275671950379049,22.1975132451811,18.6648026096367,9,9,81.2944991672481,94.5135099778038,40.7485865194216,46.5793547586378,132.799268759624,146.754859230382
"33",153921,155301,"iconic","left",1380,"event_code33","V07",4.667,0.00507246376811594,68.00649481,3.430471926,0.581596567,146.644209496599,234.394586,0.159935303560481,0.123074952699439,0.0172402213889444,0.0114050936762994,0.0343435427322408,-0.0882808989687223,-0.063895012467219,0.289855072463768,0.289855072463768,15.9838357812837,21.0856318801039,9,10,67.8071671952292,50.8517580731512,33.380571233005,39.648596759502,93.8235975066891,95.7075658305524
"34",155301,157081,"iconic","left",1780,"event_code34","V07",4.222,0.00561797752808989,112.0591044,3.984327017,0.68984185,127.504385574627,164.533578,0.0898489985500005,0.0676598360865191,0.0168179875366443,0.0759597906683398,0.25235428220673,-0.00229921841581282,-0.0485965128779814,0.179775280898876,0.831460674157303,32.3678348936153,35.2387571578941,11,11,146.902686782645,132.894202537045,68.7937017923695,94.3616471711357,182.77612418545,174.873461115425
"35",157861,159300,"iconic-deictic","left",1439,"event_code35","V07",4.667,0.00486448922863099,103.7864394,3.9298862,0.650472415,145.25715682439,195.609619,0.160441808195653,0.088063061353737,0.0343626273000983,0.104881846189498,0.11748534537641,-0.161517338377897,-0.176392096040516,0.667129951355108,0.528144544822794,16.919675035553,19.4876626157361,8,8,70.5034888682503,74.2682594818628,34.9893802501606,38.1257191551553,103.611548544293,91.0556340598031
"36",159300,160650,"iconic-deictic","left",1350,"event_code36","V07",4,0.00592592592592593,94.38422116,3.595164128,0.625636578,147.921199372449,212.499902,0.0109032619191843,0.0341956059530764,0.0460596141613545,0.0219272575162283,0.113888899824824,-0.0813508431519607,-0.0972972377508935,0.859259259259259,0.859259259259259,30.492105579934,40.6424751065864,9,11,88.8478267180147,146.035942218433,63.1816450186593,103.151348029021,160.319807307004,211.310098960355
"37",161120,163650,"iconic","left",2530,"event_code37","V07",4.75,0.00513833992094862,100.548867,4.470963732,0.783948503,166.450797801205,247.598283,0.0869821243251262,0.0424657806322838,0.0374120063055059,0.0821925032177314,0.128689270064971,-0.153644557290924,-0.177179777660031,0.0632411067193676,0.0632411067193676,17.0701893296271,17.1485372019235,18,17,58.3677968996831,52.0961921584975,33.1983422996953,33.6991581571784,116.385260535409,81.3524420962573
"38",163650,164460,"iconic","left",810,"event_code38","V07",4.333,0.00493827160493827,91.00094177,3.831161803,0.67124491,139.435246319149,162.537949,0.155886883408367,0.134316450962998,0.0391309084892465,0.0324219302626732,0.116825120201272,-0.0585739061537428,-0.0671439720347507,0.888888888888889,0.888888888888889,42.4000586048131,35.470033104825,6,6,132.849850556405,98.9913881179945,72.1012341911171,55.2274043628052,189.029610594076,154.217619446046
