Time_s,F0_Hz
197.659396,0
197.663563,0
197.667730,0
197.671896,0
197.676063,0
197.680230,0
197.684396,0
197.688563,0
197.692730,0
197.696896,0
197.701063,0
197.705230,0
197.709396,0
197.713563,0
197.717730,0
197.721896,0
197.726063,79.331637
197.730230,79.344394
197.734396,82.240449
197.738563,84.028611
197.742730,84.017167
197.746896,84.000215
197.751063,0
197.755230,0
197.759396,0
197.763563,0
197.767730,0
197.771896,0
197.776063,0
197.780230,0
197.784396,0
197.788563,0
197.792730,0
197.796896,0
197.801063,0
197.805230,0
197.809396,0
197.813563,0
197.817730,0
197.821896,0
197.826063,0
197.830230,0
197.834396,0
197.838563,0
197.842730,0
197.846896,0
197.851063,0
197.855230,0
197.859396,0
197.863563,0
197.867730,0
197.871896,0
197.876063,0
197.880230,0
197.884396,0
197.888563,0
197.892730,0
197.896896,0
197.901063,0
197.905230,0
197.909396,0
197.913563,0
197.917730,0
197.921896,0
197.926063,0
197.930230,0
197.934396,0
197.938563,0
197.942730,0
197.946896,0
197.951063,0
197.955230,0
197.959396,0
197.963563,0
197.967730,0
197.971896,0
197.976063,0
197.980230,0
197.984396,0
197.988563,0
197.992730,0
197.996896,0
198.001063,0
198.005230,0
198.009396,0
198.013563,0
198.017730,0
198.021896,0
198.026063,0
198.030230,0
198.034396,0
198.038563,0
198.042730,0
198.046896,0
198.051063,0
198.055230,0
198.059396,0
198.063563,0
198.067730,0
198.071896,0
198.076063,0
198.080230,0
198.084396,0
198.088563,0
198.092730,0
198.096896,0
198.101063,0
198.105230,0
198.109396,0
198.113563,0
198.117730,0
198.121896,0
198.126063,0
198.130230,0
198.134396,0
198.138563,0
198.142730,0
198.146896,0
198.151063,0
198.155230,0
198.159396,0
198.163563,0
198.167730,0
198.171896,0
198.176063,0
198.180230,0
198.184396,0
198.188563,0
198.192730,0
198.196896,0
198.201063,0
198.205230,0
198.209396,0
198.213563,0
198.217730,0
198.221896,0
198.226063,0
198.230230,0
198.234396,0
198.238563,0
198.242730,0
198.246896,0
198.251063,0
198.255230,0
198.259396,0
198.263563,0
198.267730,0
198.271896,0
198.276063,0
198.280230,0
198.284396,0
198.288563,0
198.292730,0
198.296896,0
198.301063,0
198.305230,0
198.309396,0
198.313563,0
198.317730,0
198.321896,0
198.326063,0
198.330230,0
198.334396,0
198.338563,0
198.342730,0
198.346896,0
198.351063,0
198.355230,0
198.359396,0
198.363563,0
198.367730,0
198.371896,0
198.376063,0
198.380230,0
198.384396,0
198.388563,0
198.392730,0
198.396896,0
198.401063,0
198.405230,0
198.409396,0
198.413563,0
198.417730,0
198.421896,0
198.426063,0
198.430230,0
198.434396,0
198.438563,0
198.442730,0
198.446896,0
198.451063,0
198.455230,0
198.459396,0
198.463563,0
198.467730,0
198.471896,0
198.476063,0
198.480230,0
198.484396,0
198.488563,0
198.492730,0
198.496896,0
198.501063,0
198.505230,0
198.509396,0
198.513563,0
198.517730,0
198.521896,0
198.526063,0
198.530230,0
198.534396,0
198.538563,0
198.542730,0
198.546896,0
198.551063,0
198.555230,0
198.559396,0
198.563563,0
198.567730,0
198.571896,0
198.576063,0
198.580230,0
198.584396,0
198.588563,0
198.592730,0
198.596896,0
198.601063,0
198.605230,0
198.609396,0
198.613563,0
198.617730,0
198.621896,0
198.626063,0
198.630230,0
198.634396,0
198.638563,0
198.642730,0
198.646896,0
198.651063,0
198.655230,0
198.659396,0
198.663563,0
198.667730,0
198.671896,0
198.676063,0
198.680230,0
198.684396,0
198.688563,0
198.692730,0
198.696896,0
198.701063,0
198.705230,0
198.709396,0
198.713563,0
198.717730,0
198.721896,0
198.726063,0
198.730230,0
198.734396,0
198.738563,0
198.742730,0
198.746896,0
198.751063,0
198.755230,0
198.759396,0
198.763563,0
198.767730,0
198.771896,0
198.776063,0
198.780230,0
198.784396,0
198.788563,0
198.792730,0
198.796896,0
198.801063,0
198.805230,0
198.809396,0
198.813563,0
198.817730,0
198.821896,0
198.826063,0
198.830230,0
198.834396,0
198.838563,0
198.842730,0
198.846896,0
198.851063,0
198.855230,0
198.859396,0
198.863563,0
198.867730,0
198.871896,0
198.876063,0
198.880230,0
198.884396,0
198.888563,0
198.892730,0
198.896896,0
198.901063,0
198.905230,0
198.909396,0
198.913563,0
198.917730,0
198.921896,0
198.926063,0
198.930230,0
198.934396,0
198.938563,0
198.942730,0
198.946896,0
198.951063,0
198.955230,0
198.959396,0
198.963563,0
198.967730,0
198.971896,0
198.976063,0
198.980230,0
198.984396,0
198.988563,0
198.992730,0
198.996896,0
199.001063,0
199.005230,0
199.009396,0
199.013563,0
199.017730,0
199.021896,0
199.026063,0
199.030230,0
199.034396,0
199.038563,0
199.042730,0
199.046896,0
199.051063,0
199.055230,0
199.059396,0
199.063563,0
199.067730,0
199.071896,0
199.076063,0
199.080230,0
199.084396,0
199.088563,0
199.092730,0
199.096896,0
199.101063,0
199.105230,0
199.109396,0
199.113563,0
199.117730,0
199.121896,0
199.126063,0
199.130230,0
199.134396,0
199.138563,0
199.142730,0
199.146896,0
199.151063,0
199.155230,0
199.159396,0
199.163563,0
199.167730,0
199.171896,0
199.176063,0
199.180230,0
199.184396,0
199.188563,0
199.192730,0
199.196896,0
199.201063,0
199.205230,0
199.209396,0
199.213563,0
199.217730,0
199.221896,0
199.226063,0
199.230230,0
199.234396,0
199.238563,0
199.242730,0
199.246896,0
199.251063,0
199.255230,0
199.259396,0
199.263563,0
199.267730,0
199.271896,0
199.276063,0
199.280230,0
199.284396,0
199.288563,0
199.292730,0
199.296896,0
199.301063,0
199.305230,0
199.309396,0
199.313563,0
199.317730,0
199.321896,0
199.326063,0
199.330230,0
199.334396,0
199.338563,0
199.342730,0
199.346896,0
199.351063,0
199.355230,0
199.359396,0
199.363563,0
199.367730,0
199.371896,0
199.376063,0
199.380230,0
199.384396,0
199.388563,0
199.392730,0
199.396896,0
199.401063,0
199.405230,0
199.409396,0
199.413563,0
199.417730,0
199.421896,0
199.426063,0
199.430230,0
199.434396,0
199.438563,0
199.442730,0
199.446896,0
199.451063,0
199.455230,0
199.459396,0
199.463563,0
199.467730,0
199.471896,0
199.476063,0
199.480230,0
199.484396,0
199.488563,0
199.492730,0
199.496896,0
199.501063,0
199.505230,0
199.509396,0
199.513563,0
199.517730,0
199.521896,0
199.526063,0
199.530230,0
199.534396,0
199.538563,0
199.542730,0
199.546896,0
199.551063,0
199.555230,0
199.559396,0
199.563563,0
199.567730,0
199.571896,0
199.576063,0
199.580230,0
199.584396,0
199.588563,0
199.592730,0
199.596896,0
199.601063,0
199.605230,0
199.609396,0
199.613563,0
199.617730,0
199.621896,0
199.626063,0
199.630230,0
199.634396,0
199.638563,0
199.642730,0
199.646896,0
199.651063,0
199.655230,0
199.659396,0
199.663563,0
199.667730,0
199.671896,0
199.676063,0
199.680230,0
199.684396,0
199.688563,0
199.692730,0
199.696896,0
199.701063,0
199.705230,0
199.709396,0
199.713563,0
199.717730,0
199.721896,0
199.726063,0
199.730230,0
199.734396,0
199.738563,0
199.742730,0
199.746896,0
199.751063,0
199.755230,0
199.759396,0
199.763563,0
199.767730,0
199.771896,0
199.776063,0
199.780230,0
199.784396,0
199.788563,0
199.792730,0
199.796896,0
199.801063,0
199.805230,0
199.809396,0
199.813563,0
199.817730,0
199.821896,0
199.826063,0
199.830230,0
199.834396,0
199.838563,0
199.842730,0
199.846896,0
199.851063,0
199.855230,0
199.859396,0
199.863563,0
199.867730,0
199.871896,0
199.876063,0
199.880230,0
199.884396,0
199.888563,0
199.892730,0
199.896896,0
199.901063,0
199.905230,0
199.909396,0
199.913563,0
199.917730,0
199.921896,0
199.926063,0
199.930230,0
199.934396,0
199.938563,0
199.942730,0
199.946896,0
199.951063,0
199.955230,0
199.959396,0
199.963563,0
199.967730,0
199.971896,0
199.976063,0
199.980230,211.405135
199.984396,210.948871
199.988563,208.186978
199.992730,202.911576
199.996896,200.326826
200.001063,195.328351
200.005230,190.410340
200.009396,186.015976
200.013563,184.090881
200.017730,188.232943
200.021896,190.487387
200.026063,195.358945
200.030230,195.484733
200.034396,195.375973
200.038563,195.224412
200.042730,195.199888
200.046896,195.278917
200.051063,195.409102
200.055230,195.474360
200.059396,0
200.063563,0
200.067730,0
200.071896,0
200.076063,0
200.080230,0
200.084396,0
200.088563,0
200.092730,0
200.096896,0
200.101063,0
200.105230,0
200.109396,0
200.113563,0
200.117730,0
200.121896,0
200.126063,0
200.130230,0
200.134396,0
200.138563,0
200.142730,0
200.146896,0
200.151063,0
200.155230,0
200.159396,0
200.163563,0
200.167730,0
200.171896,0
200.176063,0
200.180230,0
200.184396,0
200.188563,0
200.192730,0
200.196896,0
200.201063,0
200.205230,0
200.209396,0
200.213563,0
200.217730,0
200.221896,0
200.226063,0
200.230230,0
200.234396,0
200.238563,0
200.242730,0
200.246896,0
200.251063,0
200.255230,0
200.259396,0
200.263563,0
200.267730,0
200.271896,0
200.276063,0
200.280230,0
200.284396,0
200.288563,0
200.292730,0
200.296896,0
200.301063,0
200.305230,0
200.309396,0
200.313563,0
200.317730,0
200.321896,0
200.326063,0
200.330230,0
200.334396,0
200.338563,0
200.342730,0
200.346896,0
200.351063,0
200.355230,0
200.359396,175.737685
200.363563,175.818699
200.367730,175.947640
200.371896,176.027922
200.376063,176.053514
200.380230,176.097869
200.384396,176.152416
200.388563,176.219061
200.392730,176.430210
200.396896,177.058857
200.401063,177.317298
200.405230,177.401813
200.409396,177.448193
200.413563,177.567843
200.417730,177.798333
200.421896,179.280901
200.426063,179.284660
200.430230,179.210052
200.434396,177.845834
200.438563,177.884728
200.442730,177.818076
200.446896,177.581962
200.451063,177.414719
200.455230,177.440540
200.459396,0
200.463563,0
200.467730,0
200.471896,0
200.476063,0
200.480230,0
200.484396,0
200.488563,0
200.492730,181.643553
200.496896,181.627829
200.501063,181.554378
200.505230,181.818435
200.509396,184.036870
200.513563,186.067514
200.517730,185.990256
200.521896,184.072077
200.526063,183.797003
200.530230,183.646601
200.534396,181.726317
200.538563,181.628249
200.542730,181.784556
200.546896,181.840587
