coords,x_left,y_left,likelihood,x_right,y_right,likelihood
153,443.6798691,504.0695968,0.99999845,354.0254638,513.882427,1
154,443.6170887,504.1053386,0.999998331,354.1173779,513.8500068,1
155,443.6917101,504.0823336,0.999998331,354.0852618,513.8998096,1
156,443.7342697,504.1248999,0.999998212,354.0326962,513.913213,1
157,443.6578404,504.0777287,0.999998212,354.1353747,513.9188914,1
158,443.6285906,504.0856948,0.999998093,354.0891371,513.9057128,1
159,443.6340701,504.0786076,0.999998212,354.1500735,513.8874722,1
160,443.643814,504.0898509,0.999998212,354.1145219,513.8897626,1
161,443.676788,504.0281439,0.999998212,354.142502,513.9031658,1
162,443.6047267,504.0649424,0.999998093,354.0245582,513.8806612,1
163,443.6496854,504.1147695,0.999998212,354.050366,513.9627392,1
164,443.6018927,504.1363859,0.999998093,353.9593275,513.992949,1
165,443.6487269,504.1199646,0.999998212,354.039924,514.011014,1
166,443.6842429,504.0899739,0.999998212,354.0402451,513.9993274,1
167,443.7103815,504.007978,0.99999845,354.0106022,513.9947927,1
168,443.7202386,503.9878309,0.99999845,354.0510932,513.978653,1
169,443.7915162,504.053144,0.999998331,354.0548203,513.9302156,1
170,443.8050561,504.0538974,0.999998331,354.066686,513.8819485,1
171,443.8389925,504.0677481,0.999998331,353.9975204,513.8434548,1
172,443.8018586,504.001781,0.99999845,354.0324309,513.8039784,1
173,443.8823592,504.125525,0.999998331,353.9950502,513.8440309,1
174,443.8669561,504.1372695,0.999998212,354.0520118,513.8009062,1
175,443.7826329,504.0995622,0.999998331,353.9889076,513.8460531,1
176,443.7795852,504.0720277,0.999998331,353.9961832,513.8960497,1
177,443.764989,504.0884848,0.999998331,354.0467323,513.8846831,1
178,443.7562976,504.0572662,0.99999845,353.9152427,513.8436079,1
179,443.7178097,504.0406895,0.99999845,353.8640592,513.9226313,1
180,443.882908,503.9789579,0.999998569,353.9678793,513.8206811,1
181,444.4125717,504.1557713,0.999998689,353.5511942,513.6314027,1
182,445.7599521,504.0413361,0.999999404,352.0945511,512.6143777,0.999999881
183,447.7157383,501.6610317,1,350.728446,511.4693522,0.999999523
184,451.2912312,500.7107385,1,348.3044193,509.510529,0.999998569
185,455.1036561,498.8573128,1,344.4418039,508.661894,0.999999404
186,462.3672595,492.4155102,0.999998927,341.789515,506.2370071,0.999999881
187,469.9240088,480.4689586,1,337.6674798,500.8170786,1
188,480.1720974,468.2593431,1,331.9086037,492.7322754,0.999998569
189,487.597796,451.8344017,0.999999881,328.8904567,482.6589006,1
190,495.9146647,437.1125233,0.999999166,323.4196246,471.488251,1
191,498.3259438,418.3160964,0.627484977,317.952106,458.6852362,0.999999523
192,496.0222952,403.3155564,0.999999881,311.3477228,446.8377023,0.999999881
193,498.7148886,386.9861076,1,308.3468179,432.7547374,1
194,498.6968962,369.1395683,1,304.0947785,417.5264895,1
195,502.1171503,355.8112622,1,301.9306259,405.6111205,0.999999762
196,503.2561495,346.8911092,0.999998331,302.6829691,398.8549094,0.999997616
197,503.2358491,338.5993201,0.999999881,304.1823947,392.5978065,0.999999881
198,503.8223886,332.3995141,0.999997497,303.6457791,380.936734,0.999999881
199,503.6719854,326.127183,0.999999881,299.933096,371.600658,0.999999642
200,505.4763947,322.3600301,0.999999762,297.021523,365.0141559,0.999999762
201,506.8090141,319.1221147,0.999998808,293.5846823,357.3441941,1
202,507.569129,316.7638092,0.999995232,291.0713972,349.2149274,0.999999881
203,508.2811047,314.5857592,0.999996185,289.8949752,341.4731479,1
204,506.1890388,309.8995008,0.999999523,288.8155022,333.6362351,0.999999881
205,505.5558162,304.9619055,0.999999642,289.3300567,325.5667779,1
206,501.839507,300.523647,0.999999404,290.2392958,316.8357846,0.999999881
207,499.1023408,296.2898335,1,292.9071394,308.2157877,1
208,493.481007,291.3226814,0.999999762,299.5139245,303.1793652,0.999999404
209,482.7614388,288.1741664,1,306.4195122,297.4140449,0.999999642
210,465.9113717,285.5076752,0.999999642,323.2998167,293.2910823,0.999999762
211,441.9234457,288.2040339,0.999996543,356.6418003,289.9218962,0.999280035
212,406.8773293,295.2353275,0.960782588,395.0217307,294.9462874,0.999953389
